AGE,SEX
11.20876112,1
11.20876112,1
11.20876112,1
11.20876112,1
11.20876112,1
13.49760438,0
13.49760438,0
13.49760438,0
13.49760438,0
13.49760438,0
12.11498973,1
12.11498973,1
12.11498973,1
12.11498973,1
12.11498973,1
13.61533196,0
13.61533196,0
13.61533196,0
13.61533196,0
13.61533196,0
11.83572895,1
11.83572895,1
11.83572895,1
11.83572895,1
11.83572895,1
10.63655031,1
10.63655031,1
10.63655031,1
10.63655031,1
10.63655031,1
13.11430527,0
13.11430527,0
13.11430527,0
13.11430527,0
13.11430527,0
11.94524298,1
11.94524298,1
11.94524298,1
11.94524298,1
11.94524298,1
14.19849418,1
14.19849418,1
14.19849418,1
14.19849418,1
14.19849418,1
14.65297741,0
14.65297741,0
14.65297741,0
14.65297741,0
14.65297741,0
9.56605065,0
9.56605065,0
9.56605065,0
9.56605065,0
9.56605065,0
12.26283368,0
12.26283368,0
12.26283368,0
12.26283368,0
12.26283368,0
15.23613963,1
15.23613963,1
15.23613963,1
15.23613963,1
15.23613963,1
14.91307324,1
14.91307324,1
14.91307324,1
14.91307324,1
14.91307324,1
13.45653662,0
13.45653662,0
13.45653662,0
13.45653662,0
13.45653662,0
14.02327173,1
14.02327173,1
14.02327173,1
14.02327173,1
14.02327173,1
11.11293635,1
11.11293635,1
11.11293635,1
11.11293635,1
11.11293635,1
12.41889117,0
12.41889117,0
12.41889117,0
12.41889117,0
12.41889117,0
10.20670773,1
10.20670773,1
10.20670773,1
10.20670773,1
10.20670773,1
14.20123203,1
14.20123203,1
14.20123203,1
14.20123203,1
14.20123203,1
9.489390828,0
9.489390828,0
9.489390828,0
9.489390828,0
9.489390828,0
11.68240931,1
11.68240931,1
11.68240931,1
11.68240931,1
11.68240931,1
14.61738535,0
14.61738535,0
14.61738535,0
14.61738535,0
14.61738535,0
14.35181383,1
14.35181383,1
14.35181383,1
14.35181383,1
14.35181383,1
11.62765229,1
11.62765229,1
11.62765229,1
11.62765229,1
11.62765229,1
15.17590691,0
15.17590691,0
15.17590691,0
15.17590691,0
15.17590691,0
12.21629021,0
12.21629021,0
12.21629021,0
12.21629021,0
12.21629021,0
13.49760438,1
13.49760438,1
13.49760438,1
13.49760438,1
13.49760438,1
14.04243669,0
14.04243669,0
14.04243669,0
14.04243669,0
14.04243669,0
10.27789186,0
10.27789186,0
10.27789186,0
10.27789186,0
10.27789186,0
14.46954141,0
14.46954141,0
14.46954141,0
14.46954141,0
14.46954141,0
